@relation trainset
@attribute Z1 real
@attribute Y1 real
@attribute X1 real
@attribute Z2 real
@attribute Y2 real
@attribute X2 real
@data
-1.26087857, -0.9706582, 0.06680244, -0.43839251, 1.40163215, -1.49368149
-2.35268714, -1.69694435, -0.26220731, -1.14701285, 1.97874681, -2.30699537
-1.43252569, -1.13367949, -0.70957354, -1.13948742, 0.21777296, -0.44599491
-1.53294837, -1.73646745, -0.64823668, -0.87702628, 0.01778225, -0.94417588
-0.79659828, -1.06042869, -1.01857781, -1.24635348, -0.22014897, -1.59677173
0.15347141, 0.4440991, -0.85832396, -1.17123427, -0.16397026, -0.80458472
-0.72681836, -0.26300465, -0.01084646, 0.34045558, 0.34048258, -1.37403338
-0.76522258, -1.07186437, 0.33586041, 0.83623019, -0.59698296, -2.13295371
-1.65360589, -1.87430506, 0.85190692, -0.33558516, -0.57609719, -2.79340086
-1.26049795, -1.8997457, 0.88127883, -0.68241248, -0.24931951, -1.67133975
0.08037205, -1.25887767, 0.24246805, -0.57620643, 0.39986825, -1.27587083
0.29550834, -0.52352345, -0.33582157, -0.80580574, 2.1258983, -1.76024611
-0.0189075, -0.08658947, -0.34638002, -1.49332426, 2.32528941, -1.49979002
-1.26843005, -0.17907648, -0.15294466, -1.59456051, 1.38006833, -2.27209882
-1.50831756, -0.61056722, -0.17571169, -0.4656985, 0.55560947, -1.79561939
-0.83543108, -0.85981027, -0.43150122, -0.42688695, -1.49610442, -1.465257
-0.95637578, -0.70834185, -0.10338093, -1.47110328, -0.68626392, -2.47556268
-2.13105547, -2.34489442, 0.80124388, -0.70674217, 0.47639359, -1.65698881
-1.75521832, -3.14563271, 0.47036115, 1.20355778, -0.1917786, -0.78784347
-1.4557063, -2.26407677, 0.13869514, 0.14512892, -0.28585848, -1.68266503
-1.50103267, -0.22899591, -0.17140222, -1.19223722, -0.39807264, -2.03415856
-1.29747978, 0.80173159, -0.45014176, -0.35196101, 1.09398069, -1.40367642
-1.85423584, -0.81379635, -0.5633021, -0.46705089, 1.95398135, -2.51750602
-0.17437852, -1.09038016, -1.00895847, -0.9218901, 1.98524389, -1.76646491
0.23953323, -0.789923, -0.43883872, -0.88000409, 1.01953651, -0.40471161
-1.19482054, -0.82317811, 0.01492459, -0.91224951, -0.57271691, -1.73690356
-1.84371501, -1.40945589, 0.30878986, -1.37214411, -0.46799376, -1.39280039
-1.66073842, -1.46138774, 0.81908352, -0.84109184, -0.23917749, -1.75054738
-0.34024282, -0.81558081, 1.14572978, 0.15335248, -0.91557169, -1.34342795
0.28987792, -0.96578572, 0.75132391, -0.23166485, 0.4673569, -1.2038258
0.22571563, -1.89840438, -0.16898077, -0.39840004, 0.21873696, -1.78055861
-0.51163263, -3.10765152, 0.05656236, -0.40874594, -0.54461043, -1.41739629
0.23701039, -1.06995842, 0.13280531, -0.72191157, 1.27261731, -0.96457406
-1.027584, 2.23320769, -0.09360134, -0.73693682, 1.69947253, -1.49797174
-4.26044873, 2.09232248, -0.03688949, -1.00058075, 1.98869474, -2.45636737
-1.24695209, -0.92152562, 0.36744159, -1.12228249, 0.7618549, -1.73156344
0.30128346, -2.79035788, 0.96317068, -0.53462185, -0.77159454, -2.52043399
-2.28525654, -2.36016649, 0.132438, -1.19807507, -0.82097019, -1.94337429
-1.69449743, -1.94669914, -0.51667773, -0.95065726, 0.06413569, -1.1088967
-1.16994691, -2.04984101, -0.71725957, 1.27215368, -0.39686818, -0.57751569
-1.3780232, -1.61207391, -0.54136464, 0.23491466, 0.51087803, -1.98410551
-1.02997415, -0.03726208, -0.38595445, -1.06399121, -0.18451276, -1.8728777
-0.92009612, 0.87506279, -0.77696965, 0.06372087, -0.81420892, -0.41386137
-1.52345039, 0.3755936, 0.27417355, -0.23385408, 2.56016342, -3.01081136
-1.75969303, -1.48983604, 0.96326226, -0.79126119, 1.39944011, -2.05521617
-0.44958289, -3.38651323, 1.50724115, -0.8373895, 1.27561185, -1.01639031
-0.11782021, -3.46847956, 0.96646987, -0.95192986, 0.23231159, -1.0454593
0.10961203, -2.51741411, -0.67116751, -1.10664567, -0.55378297, -1.09425387
-0.67872394, 0.17991015, -0.75241638, -1.39629022, 0.3982788, -1.84534781
-3.26009276, 2.72958021, -0.29052697, -0.67659684, -0.64999765, -0.76492633
-3.43271538, 1.81851377, 0.53346904, 0.53323949, -0.3415652, -0.79289122
-1.74513898, 0.31541464, 0.48373409, 0.57535069, -0.79956454, -1.8992361
-1.79812072, -0.44674931, 0.04639236, -0.27458303, -0.45735178, -1.23929903
-1.43979428, -2.34249493, 0.37555653, -1.34158103, 0.907575, -2.43436136
-0.55820371, -3.20072247, 0.47031005, -1.54161634, 1.49458285, -4.50151134
-0.69763687, -2.97382813, -0.0722042, -0.92422246, 1.33301116, -0.73209544
-0.87035132, -2.35214885, -0.43660056, -0.90334404, 1.78897918, -0.64142787
-1.20492839, -1.06598425, -0.69950811, -0.26936852, 0.55033187, -2.17485892
-0.53399002, -1.11133187, -0.97626052, -0.61745148, -0.94289994, -1.0923496
-0.63514975, -1.04529132, -0.74658479, -1.63366115, -0.46050766, -1.97112326
